cve_id,matched_keyword,published,cvss_score,cvss_vector,cvss_version,cvss_source,reference_count,sample_cpe,description,nvd_url,tier,package,installed_version,expected_vulnerable,source_advisory_url,notes
CVE-2014-0133,nginx,28-03-2014,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,cvssMetricV2,nvd@nist.gov,6,cpe:2.3:a:f5:nginx:*:*:*:*:*:*:*:*,Heap-based buffer overflow in the SPDY implementation in nginx 1.3.15 before 1.4.7 and 1.5.x before 1.5.12 allows remote attackers to execute arbitrary code via a crafted request.,https://nvd.nist.gov/vuln/detail/CVE-2014-0133,medium,nginx,1.5.11,TRUE,http://lists.opensuse.org/opensuse-updates/2014-03/msg00095.html,Advisory says vulnerable in 1.5.x before 1.5.12
CVE-2014-3673,sctp,10-11-2014,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,cvssMetricV31,nvd@nist.gov,40,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*,"The SCTP implementation in the Linux kernel through 3.17.2 allows remote attackers to cause a denial of service (system crash) via a malformed ASCONF chunk, related to net/sctp/sm_make_chunk.c and net/sctp/sm_statefuns.c.",https://nvd.nist.gov/vuln/detail/CVE-2014-3673,easy,linux-image-generic,3.17.0,TRUE,http://git.kernel.org/?p=linux/kernel/git/torvalds/linux-2.6.git%3Ba=commit%3Bh=9de7922bc709eee2f609cd01d98aaedc4cf5ea74,Advisory says vulnerable through 3.17.2
CVE-2014-3687,sctp,10-11-2014,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,cvssMetricV31,nvd@nist.gov,44,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*,The sctp_assoc_lookup_asconf_ack function in net/sctp/associola.c in the SCTP implementation in the Linux kernel through 3.17.2 allows remote attackers to cause a denial of service (panic) via duplicate ASCONF chunks that trigger an incorrect uncork ,https://nvd.nist.gov/vuln/detail/CVE-2014-3687,easy,linux-image-generic,3.17.0,TRUE,http://git.kernel.org/?p=linux/kernel/git/torvalds/linux-2.6.git%3Ba=commit%3Bh=b69040d8e39f20d5215a03502a8e8b4c6ab78395,Advisory says vulnerable through 3.17.2
CVE-2014-5077,sctp,01-08-2014,7.1,AV:N/AC:M/Au:N/C:N/I:N/A:C,cvssMetricV2,nvd@nist.gov,44,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*,"The sctp_assoc_update function in net/sctp/associola.c in the Linux kernel through 3.15.8, when SCTP authentication is enabled, allows remote attackers to cause a denial of service (NULL pointer dereference and OOPS) by starting to establish an assoc",https://nvd.nist.gov/vuln/detail/CVE-2014-5077,easy,linux-image-generic,3.15.6,TRUE,http://git.kernel.org/?p=linux/kernel/git/torvalds/linux-2.6.git%3Ba=commit%3Bh=1be9a950c646c9092fb3618197f7b6bfb50e82aa,Advisory says vulnerable through 3.15.8 with SCTP auth enabled
CVE-2014-6422,rtp,20-09-2014,5,AV:N/AC:L/Au:N/C:N/I:N/A:P,cvssMetricV2,nvd@nist.gov,28,cpe:2.3:a:wireshark:wireshark:1.10.0:*:*:*:*:*:*:*,"The SDP dissector in Wireshark 1.10.x before 1.10.10 creates duplicate hashtables for a media channel, which allows remote attackers to cause a denial of service (application crash) via a crafted packet to the RTP dissector.",https://nvd.nist.gov/vuln/detail/CVE-2014-6422,easy,wireshark,1.10.9,TRUE,http://linux.oracle.com/errata/ELSA-2014-1676,Advisory says vulnerable in 1.10.x before 1.10.10
CVE-2014-6598,diameter,21-01-2015,7.6,AV:N/AC:H/Au:N/C:C/I:C/A:C,cvssMetricV2,nvd@nist.gov,4,cpe:2.3:a:oracle:communications_applications:3.0:*:*:*:*:*:*:*,"Unspecified vulnerability in the Oracle Communications Diameter Signaling Router component in Oracle Communications Applications 3.x, 4.x, and 5.0 allows remote attackers to affect confidentiality, integrity, and availability via vectors related to S",https://nvd.nist.gov/vuln/detail/CVE-2014-6598,hard,oracle-communications-diameter-signaling-router,5,TRUE,http://www.oracle.com/technetwork/topics/security/cpujan2015-1972971.html,"Advisory only says ""3.x, 4.x, and 5.0"" with no precise boundary -- 4.0 is a placeholder inside that range. Check the full advisory"
CVE-2015-2608,diameter,21-10-2015,10,AV:N/AC:L/Au:N/C:C/I:C/A:C,cvssMetricV2,nvd@nist.gov,4,cpe:2.3:a:oracle:communications_applications:*:*:*:*:*:*:*:*,"Unspecified vulnerability in (1) the Oracle Communications Diameter Signaling Router (DSR) component in Oracle Communications Applications 4.1.6 and earlier, 5.1.0 and earlier, 6.0.2 and earlier, and 7.1.0 and earlier; (2) the Oracle Communications P",https://nvd.nist.gov/vuln/detail/CVE-2015-2608,hard,oracle-communications-diameter-signaling-router,7.1.0,TRUE,http://www.oracle.com/technetwork/topics/security/cpuoct2015-2367953.html,Advisory lists 7.1.0-and-earlier among affected versions
CVE-2015-4275,gtp,16-07-2015,5,AV:N/AC:L/Au:N/C:N/I:N/A:P,cvssMetricV2,nvd@nist.gov,4,cpe:2.3:a:cisco:asr_5000_series_software:18.0.0.59167:*:*:*:*:*:*:*,"The Packet Data Network Gateway (aka PGW) component on Cisco ASR 5000 devices with software 18.0.0.59167 and 18.0.0.59211 allows remote attackers to cause a denial of service via a malformed header in a GTPv2 packet, aka Bug ID CSCut11534.",https://nvd.nist.gov/vuln/detail/CVE-2015-4275,hard,cisco-asr5000-software,18.0.0.59167,TRUE,http://tools.cisco.com/security/center/viewAlert.x?alertId=39934,Advisory names this exact build as affected
CVE-2015-7205,rtp,16-12-2015,10,AV:N/AC:L/Au:N/C:C/I:C/A:C,cvssMetricV2,nvd@nist.gov,44,cpe:2.3:o:fedoraproject:fedora:22:*:*:*:*:*:*:*,"Integer underflow in the RTPReceiverVideo::ParseRtpPacket function in Mozilla Firefox before 43.0 and Firefox ESR 38.x before 38.5 might allow remote attackers to obtain sensitive information, cause a denial of service, or possibly have unspecified o",https://nvd.nist.gov/vuln/detail/CVE-2015-7205,easy,firefox,42,TRUE,http://lists.fedoraproject.org/pipermail/package-announce/2015-December/174083.html,Advisory says vulnerable before 43.0
CVE-2016-1247,nginx,29-11-2016,7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cvssMetricV31,nvd@nist.gov,30,cpe:2.3:a:f5:nginx:*:*:*:*:*:*:*:*,"The nginx package before 1.6.2-5+deb8u3 on Debian jessie, the nginx packages before 1.4.6-1ubuntu3.6 on Ubuntu 14.04 LTS, before 1.10.0-0ubuntu0.16.04.3 on Ubuntu 16.04 LTS, and before 1.10.1-0ubuntu1.1 on Ubuntu 16.10, and the nginx ebuild before 1.",https://nvd.nist.gov/vuln/detail/CVE-2016-1247,easy,nginx,1.6.2-5+deb8u2,TRUE,http://packetstormsecurity.com/files/139750/Nginx-Debian-Based-Distros-Root-Privilege-Escalation.html,Advisory says vulnerable before 1.6.2-5+deb8u3 on Debian jessie
