item_id,snippet_file,config_type,misconfigured_parameter,current_value_in_snippet,expected_secure_value,cis_control_id,cis_remediation_notes
sysctl_01,category3snippets.csv\sysctl_01.txt,sysctl,net.ipv4.ip_forward,1,0,3.3.1.1,"
Review all files being used by systemd-sysctl and remove all net.ipv4.ip_forward lines and add: net.ipv4.ip_forward=0. 
 to ensure that a system with multiple interfaces (for
example, a hard proxy), will not be able to forward IPv4 packets to prevent system network information may be unnecessarily transmitted across the network."
sysctl_02,category3snippets.csv\sysctl_02.txt,sysctl,net.ipv4.conf.all.send_redirects,1,0,3.3.1.4,An attacker can use a compromised host to send invalid ICMP redirects to other router devices to corrupt routing and have users access a invalid system.Review all files being used by systemd sysctl and remove all net.ipv4.conf.all.send_redirects lines that are not net.ipv4.conf.all.send_redirects=0.
sysctl_03,category3snippets.csv\sysctl_03.txt,sysctl,net.ipv4.conf.all.accept_redirects,1,0,3.3.1.8,"By setting net.ipv4.conf.all.accept_redirects to 0, the system will not accept any IPv4 ICMP redirect messages, and therefore, won't allow outsiders to update the system's routing tables."
sysctl_04,category3snippets.csv\sysctl_04.txt,sysctl,net.ipv4.conf.all.accept_source_route,1,0,3.3.1.14,"Setting net.ipv4.conf.all.accept_source_route to 0 disables the system from accepting source routed packets as they could be used to gain access to the private address systems as the route could be specified, rather than rely on routing protocols."
sysctl_05,category3snippets.csv\sysctl_05.txt,sysctl,net.ipv4.icmp_echo_ignore_broadcasts,0,1,3.3.1.7,Review all files being used by systemd sysctl and comment out or remove all net.ipv4.icmp_echo_ignore_broadcasts lines that are not net.ipv4.icmp_echo_ignore_broadcasts=1. As accepting ICMP echo and timestamp requests with broadcast or multicast destinations for your network could be used to trick your host into starting (or participating) in a Smurf attack that relies on an attacker sending large amounts of ICMP broadcast messages with a spoofed source address.
sysctl_06,category3snippets.csv\sysctl_06.txt,sysctl,net.ipv4.conf.all.log_martians,0,1,3.3.1.16,"Review all files being used by systemd sysctl and remove all
net.ipv4.conf.all.log_martians lines that are not net.ipv4.conf.all.log_martians=1. Logging these packets allows an administrator to investigate the possibility that an attacker is sending spoofed packets to their system."
sysctl_07,category3snippets.csv\sysctl_07.txt,sysctl,net.ipv4.tcp_syncookies,0,1,3.3.1.18,"Setting net.ipv4.tcp_syncookies to 1 enables SYN cookies, allowing the system to keep accepting valid connections, even if under a Dos attack when attackers use SYN flood attacks on a system by sending many SYN packets without completing the three way handshake."
sysctl_08,category3snippets.csv\sysctl_08.txt,sysctl,kernel.randomize_va_space,0,2,1.5.6,"Review all files being used by systemd sysctl and comment out or remove all kernel.randomize_va_space lines that are not
kernel.randomize_va_space=2. it places virtual memory regions randomly and  consistently shifting making  it difficult to write memory page exploits."
sysctl_09,category3snippets.csv\sysctl_09.txt,sysctl,net.ipv6.conf.all.accept_ra,1,0,3.3.2.7,"Review all files being used by systemd sysctl and comment out or remove all net.ipv6.conf.all.accept_ra lines that are not
net.ipv6.conf.all.accept_ra=0. It is recommended that systems do not accept router advertisements as they could be tricked into routing traffic to compromised machines. "
sshd_01,category3snippets.csv\sshd_01.txt,sshd_config,PermitRootLogin,yes,no,5.1.21,"Edit  /etc/ssh/sshd_config file and set PermitRootLogin parameter to no.this Disallowing of root logins over SSH requires system admins to authenticate using their own individual account, then escalating to root.  limiting non-repudiation and providing a clear audit trail in the event of a security threat."
sshd_02,category3snippets.csv\sshd_02.txt,sshd_config,PasswordAuthentication,yes,no,5.1.23,"Edit the /etc/ssh/sshd_config file to set the UsePAM parameter to yes , which allows it to run through accounts and session types properly by restricting access to services based off of IP, time or other
factors of the account."
sshd_03,category3snippets.csv\sshd_03.txt,sshd_config,X11Forwarding,yes,no,5.1.11,"Edit the /etc/ssh/sshd_config file to set the DisableForwarding parameter to yes. Leaving port forwarding enabled can expose the organization to security risks and
backdoors. Cybercriminals or malware could exploit SSH to hide their
unauthorized communications, or to exfiltrate stolen data from the target network."
sshd_04,category3snippets.csv\sshd_04.txt,sshd_config,MaxAuthTries,10,4,5.1.17,Edit the /etc/ssh/sshd_config file to set the MaxAuthTries parameter to 4 or less which minimizes risk of successful brute force attack on ssh server.
sshd_05,category3snippets.csv\sshd_05.txt,sshd_config,PermitEmptyPasswords,yes,no,5.1.20,Edit /etc/ssh/sshd_config and set the PermitEmptyPasswords parameter to no as allowing remote shell access to empty passworded accounds reduces probabilty of unauthorized access
sshd_06,category3snippets.csv\sshd_06.txt,sshd_config,LogLevel,QUIET,VERBOSE,5.1.16,"Edit the /etc/ssh/sshd_config file to set the LogLevel parameter to VERBOSE or INFO .The INFO level  only records login activity of SSH users while the VERBOSE level specifies that login, logout activity and the key fingerprint for any SSH key used for login will be logged."
sshd_07,category3snippets.csv\sshd_07.txt,sshd_config,ClientAliveCountMax,unlimited,3,5.1.10,"Edit the /etc/ssh/sshd_config file to set the ClientAliveInterval and ClientAliveCountMax.If connections are allowed to stay open indefinitely, this can potentially be used as a DDOS attack or simple resource exhaustion so appropriate values should be set for both ClientAliveInterval and ClientAliveCountMax  must be greater than zero in order to utilize the ability of SSH to drop idle connections. "
sshd_08,category3snippets.csv\sshd_08.txt,sshd_config,IgnoreRhosts,no,yes,5.1.14,Edit the /etc/ssh/sshd_config file to set the IgnoreRhosts parameter to yes .Setting this parameter forces users to enter a password when authenticating with SSH.
auditd_01,category3snippets.csv\auditd_01.txt,auditd.conf,max_log_file_action,ignore,keep_logs,6.2.2.2,"In high security contexts, the benefits of maintaining a long audit history exceed the cost of storing the audit history.Set parameter in /etc/audit/auditd.conf as: max_log_file_action = keep_logs "
auditd_02,category3snippets.csv\auditd_02.txt,auditd.conf,space_left_action,ignore,email,6.2.2.4,"Set the space_left_action parameter in /etc/audit/auditd.conf to email,exec, single, or halt.In high security contexts, the risk of detecting unauthorized access or nonrepudiation
exceeds the benefit of the system's availability."
auditd_03,category3snippets.csv\auditd_03.txt,auditd.conf,admin_space_left_action,ignore,halt,6.2.2.4,"Set the admin_space_left_action parameter in /etc/audit/auditd.conf to single or halt. If set to single, auditd puts the system in single user mode when the corresponding
threshold is reached; if set to halt, auditd shuts the system down"
sysctl_10,category3snippets.csv\sysctl_10.txt,sysctl,net.ipv4.conf.all.rp_filter,0,1,3.3.1.12,Setting net.ipv4.conf.all.rp_filter to 1is used to deter attackers from sending system bogus packets that cannot be responded to.
sshd_09,category3snippets.csv\sshd_09.txt,sshd_config,LoginGraceTime,120,60,5.1.15,Setting the LoginGraceTime parameter to a low number will minimize the risk of successful brute force attacks to the SSH server and the number of concurrent unauthenticated connections. Edit the /etc/ssh/sshd_config file as:   LoginGraceTime 60
auditd_04,category3snippets.csv\auditd_04.txt,auditd.conf,disk_full_action,ignore,halt,6.2.2.3,disk_full_action = halt - the auditd daemon will shutdown the system when the disk partition containing the audit logs becomes full.
