item_id,config_type,parameter,secure_value,insecure_value,short_description,cis_control_id,cis_remediation_notes
sysctl_01,sysctl,net.ipv4.ip_forward,0,1,Disables IP forwarding so the host does not act as an unintended router,3.3.1.1,"
Review all files being used by systemd-sysctl and remove all net.ipv4.ip_forward lines and add: net.ipv4.ip_forward=0. 
 to ensure that a system with multiple interfaces (for
example, a hard proxy), will not be able to forward IPv4 packets to prevent system network information may be unnecessarily transmitted across the network."
sysctl_02,sysctl,net.ipv4.conf.all.send_redirects,0,1,Prevents the host from sending ICMP redirects,3.3.1.4,An attacker can use a compromised host to send invalid ICMP redirects to other router devices to corrupt routing and have users access a invalid system.Review all files being used by systemd sysctl and remove all net.ipv4.conf.all.send_redirects lines that are not net.ipv4.conf.all.send_redirects=0.
sysctl_03,sysctl,net.ipv4.conf.all.accept_redirects,0,1,Prevents the host from accepting ICMP redirects that could alter routing,3.3.1.8,"By setting net.ipv4.conf.all.accept_redirects to 0, the system will not accept any IPv4 ICMP redirect messages, and therefore, won't allow outsiders to update the system's routing tables."
sysctl_04,sysctl,net.ipv4.conf.all.accept_source_route,0,1,Disables source-routed packets which can be used to bypass network controls,3.3.1.14,"Setting net.ipv4.conf.all.accept_source_route to 0 disables the system from accepting source routed packets as they could be used to gain access to the private address systems as the route could be specified, rather than rely on routing protocols."
sysctl_05,sysctl,net.ipv4.icmp_echo_ignore_broadcasts,1,0,Ignores broadcast ICMP requests to prevent smurf-style amplification,3.3.1.7,Review all files being used by systemd sysctl and comment out or remove all net.ipv4.icmp_echo_ignore_broadcasts lines that are not net.ipv4.icmp_echo_ignore_broadcasts=1. As accepting ICMP echo and timestamp requests with broadcast or multicast destinations for your network could be used to trick your host into starting (or participating) in a Smurf attack that relies on an attacker sending large amounts of ICMP broadcast messages with a spoofed source address.
sysctl_06,sysctl,net.ipv4.conf.all.log_martians,1,0,Logs packets with impossible source addresses for anomaly detection,3.3.1.16,"Review all files being used by systemd sysctl and remove all
net.ipv4.conf.all.log_martians lines that are not net.ipv4.conf.all.log_martians=1. Logging these packets allows an administrator to investigate the possibility that an attacker is sending spoofed packets to their system."
sysctl_07,sysctl,net.ipv4.tcp_syncookies,1,0,Enables SYN cookies to mitigate SYN flood denial-of-service attacks,3.3.1.18,"Setting net.ipv4.tcp_syncookies to 1 enables SYN cookies, allowing the system to keep accepting valid connections, even if under a Dos attack when attackers use SYN flood attacks on a system by sending many SYN packets without completing the three way handshake."
sysctl_08,sysctl,kernel.randomize_va_space,2,0,Enables full ASLR to make memory-corruption exploits harder,1.5.6,"Review all files being used by systemd sysctl and comment out or remove all kernel.randomize_va_space lines that are not
kernel.randomize_va_space=2. it places virtual memory regions randomly and  consistently shifting making  it difficult to write memory page exploits."
sysctl_09,sysctl,net.ipv6.conf.all.accept_ra,0,1,Prevents accepting IPv6 router advertisements from untrusted sources,3.3.2.7,"Review all files being used by systemd sysctl and comment out or remove all net.ipv6.conf.all.accept_ra lines that are not
net.ipv6.conf.all.accept_ra=0. It is recommended that systems do not accept router advertisements as they could be tricked into routing traffic to compromised machines. "
sshd_01,sshd_config,PermitRootLogin,no,yes,Prevents direct root login over SSH -- forces privilege escalation to be logged,5.1.21,"Edit  /etc/ssh/sshd_config file and set PermitRootLogin parameter to no.this Disallowing of root logins over SSH requires system admins to authenticate using their own individual account, then escalating to root.  limiting non-repudiation and providing a clear audit trail in the event of a security threat."
sshd_02,sshd_config,PasswordAuthentication,no,yes,Forces key-based auth instead of passwords -- removes brute-force/credential-stuffing surface,5.1.23,"Edit the /etc/ssh/sshd_config file to set the UsePAM parameter to yes , which allows it to run through accounts and session types properly by restricting access to services based off of IP, time or other
factors of the account."
sshd_03,sshd_config,X11Forwarding,no,yes,Disables X11 forwarding to reduce attack surface on servers that do not need a GUI,5.1.11,"Edit the /etc/ssh/sshd_config file to set the DisableForwarding parameter to yes. Leaving port forwarding enabled can expose the organization to security risks and
backdoors. Cybercriminals or malware could exploit SSH to hide their
unauthorized communications, or to exfiltrate stolen data from the target network."
sshd_04,sshd_config,MaxAuthTries,4,10,Limits authentication attempts per connection to slow brute-force attempts,5.1.17,Edit the /etc/ssh/sshd_config file to set the MaxAuthTries parameter to 4 or less which minimizes risk of successful brute force attack on ssh server.
sshd_05,sshd_config,PermitEmptyPasswords,no,yes,Explicitly disallows accounts with blank passwords from logging in,5.1.20,Edit /etc/ssh/sshd_config and set the PermitEmptyPasswords parameter to no as allowing remote shell access to empty passworded accounds reduces probabilty of unauthorized access
sshd_06,sshd_config,LogLevel,VERBOSE,QUIET,Ensures SSH events are actually logged for later audit/incident response,5.1.16,"Edit the /etc/ssh/sshd_config file to set the LogLevel parameter to VERBOSE or INFO .The INFO level  only records login activity of SSH users while the VERBOSE level specifies that login, logout activity and the key fingerprint for any SSH key used for login will be logged."
sshd_07,sshd_config,ClientAliveCountMax,3,unlimited,Ensures idle sessions are terminated rather than left open indefinitely,5.1.10,"Edit the /etc/ssh/sshd_config file to set the ClientAliveInterval and ClientAliveCountMax.If connections are allowed to stay open indefinitely, this can potentially be used as a DDOS attack or simple resource exhaustion so appropriate values should be set for both ClientAliveInterval and ClientAliveCountMax  must be greater than zero in order to utilize the ability of SSH to drop idle connections. "
