cve_id,matched_keyword,published,cvss_score,cvss_vector,cvss_version,cvss_source,reference_count,sample_cpe,description,nvd_url,tier,package,installed_version,expected_vulnerable,source_advisory_url,notes
CVE-2015-7205,rtp,16-12-2015,10,AV:N/AC:L/Au:N/C:C/I:C/A:C,cvssMetricV2,nvd@nist.gov,44,cpe:2.3:o:fedoraproject:fedora:22:*:*:*:*:*:*:*,"Integer underflow in the RTPReceiverVideo::ParseRtpPacket function in Mozilla Firefox before 43.0 and Firefox ESR 38.x before 38.5 might allow remote attackers to obtain sensitive information, cause a denial of service, or possibly have unspecified o",https://nvd.nist.gov/vuln/detail/CVE-2015-7205,easy,,,,,
CVE-2014-5077,sctp,01-08-2014,7.1,AV:N/AC:M/Au:N/C:N/I:N/A:C,cvssMetricV2,nvd@nist.gov,44,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*,"The sctp_assoc_update function in net/sctp/associola.c in the Linux kernel through 3.15.8, when SCTP authentication is enabled, allows remote attackers to cause a denial of service (NULL pointer dereference and OOPS) by starting to establish an assoc",https://nvd.nist.gov/vuln/detail/CVE-2014-5077,easy,,,,,
CVE-2014-3687,sctp,10-11-2014,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,cvssMetricV31,nvd@nist.gov,44,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*,The sctp_assoc_lookup_asconf_ack function in net/sctp/associola.c in the SCTP implementation in the Linux kernel through 3.17.2 allows remote attackers to cause a denial of service (panic) via duplicate ASCONF chunks that trigger an incorrect uncork ,https://nvd.nist.gov/vuln/detail/CVE-2014-3687,easy,,,,,
CVE-2018-1002105,kubernetes,05-12-2018,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cvssMetricV30,jordan@liggitt.net,40,cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*,"In all Kubernetes versions prior to v1.10.11, v1.11.5, and v1.12.3, incorrect handling of error responses to proxied upgrade requests in the kube-apiserver allowed specially crafted requests to establish a connection through the Kubernetes API server",https://nvd.nist.gov/vuln/detail/CVE-2018-1002105,easy,,,,,
CVE-2014-3673,sctp,10-11-2014,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,cvssMetricV31,nvd@nist.gov,40,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*,"The SCTP implementation in the Linux kernel through 3.17.2 allows remote attackers to cause a denial of service (system crash) via a malformed ASCONF chunk, related to net/sctp/sm_make_chunk.c and net/sctp/sm_statefuns.c.",https://nvd.nist.gov/vuln/detail/CVE-2014-3673,easy,,,,,
CVE-2016-1247,nginx,29-11-2016,7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cvssMetricV31,nvd@nist.gov,30,cpe:2.3:a:f5:nginx:*:*:*:*:*:*:*:*,"The nginx package before 1.6.2-5+deb8u3 on Debian jessie, the nginx packages before 1.4.6-1ubuntu3.6 on Ubuntu 14.04 LTS, before 1.10.0-0ubuntu0.16.04.3 on Ubuntu 16.04 LTS, and before 1.10.1-0ubuntu1.1 on Ubuntu 16.10, and the nginx ebuild before 1.",https://nvd.nist.gov/vuln/detail/CVE-2016-1247,easy,,,,,
CVE-2018-16845,nginx,07-11-2018,6.1,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:H,cvssMetricV31,nvd@nist.gov,28,cpe:2.3:a:f5:nginx:*:*:*:*:*:*:*:*,"nginx before versions 1.15.6, 1.14.1 has a vulnerability in the ngx_http_mp4_module, which might allow an attacker to cause infinite loop in a worker process, cause a worker process crash, or might result in worker process memory disclosure by using ",https://nvd.nist.gov/vuln/detail/CVE-2018-16845,easy,,,,,
CVE-2014-6422,rtp,20-09-2014,5,AV:N/AC:L/Au:N/C:N/I:N/A:P,cvssMetricV2,nvd@nist.gov,28,cpe:2.3:a:wireshark:wireshark:1.10.0:*:*:*:*:*:*:*,"The SDP dissector in Wireshark 1.10.x before 1.10.10 creates duplicate hashtables for a media channel, which allows remote attackers to cause a denial of service (application crash) via a crafted packet to the RTP dissector.",https://nvd.nist.gov/vuln/detail/CVE-2014-6422,easy,,,,,
CVE-2018-16843,nginx,07-11-2018,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,cvssMetricV31,nvd@nist.gov,24,cpe:2.3:a:f5:nginx:*:*:*:*:*:*:*:*,nginx before versions 1.15.6 and 1.14.1 has a vulnerability in the implementation of HTTP/2 that can allow for excessive memory consumption. This issue affects nginx compiled with the ngx_http_v2_module (not compiled by default) if the 'http2' option,https://nvd.nist.gov/vuln/detail/CVE-2018-16843,easy,,,,,
CVE-2023-25173,containerd,16-02-2023,5.3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,cvssMetricV31,security-advisories@github.com,24,cpe:2.3:a:linuxfoundation:containerd:*:*:*:*:*:*:*:*,containerd is an open source container runtime. A bug was found in containerd prior to versions 1.6.18 and 1.5.18 where supplementary groups are not set up properly inside a container. If an attacker has direct access to a container and manipulates t,https://nvd.nist.gov/vuln/detail/CVE-2023-25173,easy,,,,,
CVE-2016-7075,kubernetes,10-09-2018,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,cvssMetricV30,secalert@redhat.com,6,cpe:2.3:a:kubernetes:kubernetes:-:*:*:*:*:*:*:*,It was found that Kubernetes as used by Openshift Enterprise 3 did not correctly validate X.509 client intermediate certificate host name fields. An attacker could use this flaw to bypass authentication requirements by using a specially crafted X.509,https://nvd.nist.gov/vuln/detail/CVE-2016-7075,medium,,,,,
CVE-2018-1002101,kubernetes,05-12-2018,5.9,CVSS:3.0/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:N,cvssMetricV30,jordan@liggitt.net,6,cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*,"In Kubernetes versions 1.9.0-1.9.9, 1.10.0-1.10.5, and 1.11.0-1.11.1, user input was handled insecurely while setting up volume mounts on Windows nodes, which could lead to command line argument injection.",https://nvd.nist.gov/vuln/detail/CVE-2018-1002101,medium,,,,,
CVE-2019-11243,kubernetes,22-04-2019,8.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,cvssMetricV31,nvd@nist.gov,6,cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*,"In Kubernetes v1.12.0-v1.12.4 and v1.13.0, the rest.AnonymousClientConfig() method returns a copy of the provided config, with credentials removed (bearer token, username/password, and client certificate/key data). In the affected versions, rest.Anon",https://nvd.nist.gov/vuln/detail/CVE-2019-11243,medium,,,,,
CVE-2019-11254,kube-apiserver,01-04-2020,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,cvssMetricV31,jordan@liggitt.net,6,cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*,"The Kubernetes API Server component in versions 1.1-1.14, and versions prior to 1.15.10, 1.16.7 and 1.17.3 allows an authorized user who sends malicious YAML payloads to cause the kube-apiserver to consume excessive CPU cycles while parsing YAML.",https://nvd.nist.gov/vuln/detail/CVE-2019-11254,medium,,,,,
CVE-2020-8559,kube-apiserver,22-07-2020,6.4,CVSS:3.1/AV:N/AC:H/PR:H/UI:R/S:U/C:H/I:H/A:H,cvssMetricV31,jordan@liggitt.net,6,cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*,"The Kubernetes kube-apiserver in versions v1.6-v1.15, and versions prior to v1.16.13, v1.17.9 and v1.18.6 are vulnerable to an unvalidated redirect on proxied upgrade requests that could allow an attacker to escalate privileges from a node compromise",https://nvd.nist.gov/vuln/detail/CVE-2020-8559,medium,,,,,
CVE-2022-3294,kube-apiserver,01-03-2023,6.6,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H,cvssMetricV31,jordan@liggitt.net,6,cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*,"Users may have access to secure endpoints in the control plane network. Kubernetes clusters are only affected if an untrusted user can modify Node objects and send proxy requests to them. Kubernetes supports node proxying, which allows clients of kub",https://nvd.nist.gov/vuln/detail/CVE-2022-3294,medium,,,,,
CVE-2022-23471,containerd,07-12-2022,5.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:N/A:H,cvssMetricV31,security-advisories@github.com,6,cpe:2.3:a:linuxfoundation:containerd:*:*:*:*:*:*:*:*,"containerd is an open source container runtime. A bug was found in containerd's CRI implementation where a user can exhaust memory on the host. In the CRI stream server, a goroutine is launched to handle terminal resize events if a TTY is requested. ",https://nvd.nist.gov/vuln/detail/CVE-2022-23471,medium,,,,,
CVE-2023-32684,containerd,30-05-2023,2.7,CVSS:3.1/AV:L/AC:H/PR:N/UI:R/S:C/C:L/I:N/A:N,cvssMetricV31,security-advisories@github.com,6,cpe:2.3:a:linuxfoundation:lima:*:*:*:*:*:*:*:*,"Lima launches Linux virtual machines, typically on macOS, for running containerd. Prior to version 0.16.0, a virtual machine instance with a malicious disk image could read a single file on the host filesystem, even when no filesystem is mounted from",https://nvd.nist.gov/vuln/detail/CVE-2023-32684,medium,,,,,
CVE-2022-40302,frr,03-05-2023,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,cvssMetricV31,nvd@nist.gov,6,cpe:2.3:a:frrouting:frrouting:*:*:*:*:*:*:*:*,"An issue was discovered in bgpd in FRRouting (FRR) through 8.4. By crafting a BGP OPEN message with an option of type 0xff (Extended Length from RFC 9072), attackers may cause a denial of service (assertion failure and daemon restart, or out-of-bound",https://nvd.nist.gov/vuln/detail/CVE-2022-40302,medium,,,,,
