model,category,total_items,control_id_match_rate,avg_keyword_overlap,likely_correct_rate,insufficient_gt_rate
deepseek-coder-v2:16B,k8s_manifest,15,0.0,0.193,0.2,0.467
deepseek-coder-v2:16B,multi_artefact,11,0.091,0.138,0.091,0.0
deepseek-coder-v2:16B,os_config,25,0.0,0.12,0.16,0.68
gemma2:9B,k8s_manifest,15,0.0,0.187,0.2,0.467
gemma2:9B,multi_artefact,11,0.0,0.116,0.0,0.0
gemma2:9B,os_config,25,0.0,0.133,0.24,0.68
llama3.1:8B,k8s_manifest,15,0.0,0.107,0.2,0.467
llama3.1:8B,multi_artefact,11,0.091,0.106,0.091,0.0
llama3.1:8B,os_config,25,0.0,0.053,0.08,0.68
mistral:7B,k8s_manifest,15,0.0,0.282,0.133,0.467
mistral:7B,multi_artefact,11,0.0,0.088,0.0,0.0
mistral:7B,os_config,25,0.0,0.08,0.12,0.68
phi3.5:latest,k8s_manifest,15,0.067,0.16,0.133,0.467
phi3.5:latest,multi_artefact,11,0.0,0.123,0.0,0.0
phi3.5:latest,os_config,25,0.0,0.073,0.12,0.68
qwen2.5:7B,k8s_manifest,15,0.0,0.173,0.133,0.467
qwen2.5:7B,multi_artefact,11,0.0,0.118,0.0,0.0
qwen2.5:7B,os_config,25,0.0,0.113,0.12,0.68
