model,category,total_items,json_valid_count,json_validity_rate,graded_items,coverage,accuracy,precision,recall,f1
deepseek-coder-v2:16B,cve_known,30,30,1.0,28,0.933,0.786,1.0,0.786,0.88
deepseek-coder-v2:16B,cve_novel,20,19,0.95,2,0.1,0.0,0,0.0,0
deepseek-coder-v2:16B,k8s_manifest,15,15,1.0,0,0.0,,0,0,0
deepseek-coder-v2:16B,multi_artefact,11,11,1.0,0,0.0,,0,0,0
deepseek-coder-v2:16B,os_config,25,7,0.28,0,0.0,,0,0,0
gemma2:9B,cve_known,30,30,1.0,18,0.6,0.444,1.0,0.444,0.615
gemma2:9B,cve_novel,20,20,1.0,0,0.0,,0,0,0
gemma2:9B,k8s_manifest,15,14,0.933,0,0.0,,0,0,0
gemma2:9B,multi_artefact,11,11,1.0,0,0.0,,0,0,0
gemma2:9B,os_config,25,18,0.72,0,0.0,,0,0,0
llama3.1:8B,cve_known,30,28,0.933,26,0.867,0.538,1.0,0.538,0.7
llama3.1:8B,cve_novel,20,20,1.0,0,0.0,,0,0,0
llama3.1:8B,k8s_manifest,15,13,0.867,0,0.0,,0,0,0
llama3.1:8B,multi_artefact,11,10,0.909,0,0.0,,0,0,0
llama3.1:8B,os_config,25,21,0.84,0,0.0,,0,0,0
llama3.1:8B+rag,cve_novel,20,20,1.0,19,0.95,0.947,1.0,0.947,0.973
mistral:7B,cve_known,30,28,0.933,24,0.8,0.75,1.0,0.75,0.857
mistral:7B,cve_novel,20,20,1.0,9,0.45,1.0,1.0,1.0,1.0
mistral:7B,k8s_manifest,15,15,1.0,0,0.0,,0,0,0
mistral:7B,multi_artefact,11,10,0.909,0,0.0,,0,0,0
mistral:7B,os_config,25,8,0.32,0,0.0,,0,0,0
phi3.5:latest,cve_known,30,29,0.967,22,0.733,0.545,1.0,0.545,0.706
phi3.5:latest,cve_novel,20,20,1.0,0,0.0,,0,0,0
phi3.5:latest,k8s_manifest,15,13,0.867,0,0.0,,0,0,0
phi3.5:latest,multi_artefact,11,10,0.909,0,0.0,,0,0,0
phi3.5:latest,os_config,25,2,0.08,0,0.0,,0,0,0
qwen2.5:7B,cve_known,30,30,1.0,29,0.967,0.586,1.0,0.586,0.739
qwen2.5:7B,cve_novel,20,20,1.0,1,0.05,1.0,1.0,1.0,1.0
qwen2.5:7B,k8s_manifest,15,15,1.0,0,0.0,,0,0,0
qwen2.5:7B,multi_artefact,11,10,0.909,0,0.0,,0,0,0
qwen2.5:7B,os_config,25,12,0.48,0,0.0,,0,0,0
qwen2.5:7B+rag,cve_novel,20,20,1.0,20,1.0,0.85,1.0,0.85,0.919
